파일명,카테고리,이미지이름,이미지설명,사용하면좋을상황
monitor.svg,01-devices,모니터,컴퓨터 모니터 화면,컴퓨터 구성요소 설명, 출력장치 소개
laptop.svg,01-devices,노트북,휴대용 노트북 컴퓨터,정보기기 종류, 모바일 컴퓨팅
tablet.svg,01-devices,태블릿,태블릿 PC,터치 기반 기기, 모바일 학습
smartphone.svg,01-devices,스마트폰,스마트폰 기기,모바일 기기, 앱 개발
desktop.svg,01-devices,데스크톱,데스크톱 컴퓨터,컴퓨터 구성, 하드웨어 수업
keyboard.svg,01-devices,키보드,입력 장치 키보드,입력장치, 타이핑 수업
mouse.svg,01-devices,마우스,컴퓨터 마우스,입력장치, 인터페이스
printer.svg,01-devices,프린터,문서 출력 프린터,출력장치, 주변기기
webcam.svg,01-devices,웹캠,화상 카메라,영상 입력, 화상 수업
microphone.svg,01-devices,마이크,음성 입력 마이크,입력장치, 음성 인식
speaker.svg,01-devices,스피커,음향 출력 스피커,출력장치, 멀티미디어
headphones.svg,01-devices,헤드폰,음향 헤드폰,출력장치, 개인 학습
cpu.svg,01-devices,CPU,중앙처리장치,컴퓨터 구조, 프로세서 설명
hard-drive.svg,01-devices,하드드라이브,저장장치,보조기억장치, 데이터 저장
memory-stick.svg,01-devices,메모리,메모리 스틱,기억장치, 저장매체
usb.svg,01-devices,USB,USB 연결단자,인터페이스, 데이터 전송
server.svg,01-devices,서버,네트워크 서버,서버 개념, 클라이언트-서버
router.svg,01-devices,라우터,네트워크 라우터,네트워크 장비, 인터넷 연결
camera.svg,01-devices,카메라,디지털 카메라,영상 입력, 멀티미디어
battery.svg,01-devices,배터리,전원 배터리,전원 공급, IoT 기기
bluetooth.svg,01-devices,블루투스,블루투스 무선통신,무선 통신, 근거리 통신
wifi.svg,01-devices,와이파이,무선 인터넷,무선 네트워크, 인터넷 연결
tv.svg,01-devices,TV,텔레비전 화면,디스플레이, 출력장치
smartphone-charging.svg,01-devices,충전,기기 충전,전원 관리, 배터리
gamepad.svg,01-devices,게임패드,게임 컨트롤러,입력장치, 게임 개발
radio.svg,01-devices,라디오,라디오 수신기,통신 기기, 아날로그/디지털
disc.svg,01-devices,디스크,저장 디스크,광학 저장매체, CD/DVD
smartwatch.svg,01-devices,스마트워치,스마트 시계,웨어러블 기기, IoT
signal.svg,01-devices,신호,통신 신호,신호 전송, 네트워크 상태
antenna.svg,01-devices,안테나,무선 안테나,통신 장비, 신호 수신
plug.svg,01-devices,플러그,전원 플러그,전원 연결, 인터페이스
cable.svg,01-devices,케이블,연결 케이블,유선 연결, 데이터 전송
ethernet.svg,01-devices,이더넷,이더넷 포트,유선 네트워크, LAN
hdmi.svg,01-devices,HDMI,HDMI 포트,영상 출력, 인터페이스
projector.svg,01-devices,프로젝터,영상 프로젝터,출력장치, 프레젠테이션
scan.svg,01-devices,스캐너,문서 스캐너,입력장치, 문서 디지털화
drone.svg,01-devices,드론,무인 항공기,IoT, 로봇 기술
satellite-dish.svg,01-devices,위성안테나,위성 수신 안테나,통신, 위성 기술
gpu.svg,01-devices,GPU,그래픽처리장치,병렬처리, AI 연산
circuit-board.svg,01-devices,회로기판,전자 회로기판,하드웨어 구조, 전자공학
nfc.svg,01-devices,NFC,근거리 무선통신,모바일 결제, 태그 인식
laptop-mini.svg,01-devices,미니노트북,경량 노트북,모바일 컴퓨팅, 크롬북
monitor-phone.svg,01-devices,모니터+폰,모니터와 스마트폰 연결,반응형 디자인, 미러링
power-on.svg,01-devices,전원켜기,전원 버튼,시스템 시작, 전원 관리
power-off.svg,01-devices,전원끄기,전원 종료 버튼,시스템 종료, 절전
screen-share.svg,01-devices,화면공유,화면 공유 기능,원격 수업, 화면 미러링
headset.svg,01-devices,헤드셋,마이크 헤드셋,화상 수업, 음성 통화
face-scan.svg,01-devices,얼굴인식,얼굴 스캔 인식,생체인증, AI 인식
barcode-scan.svg,01-devices,바코드스캔,바코드 읽기,자동 인식, 물류 관리
tablet-phone.svg,01-devices,태블릿+폰,태블릿과 스마트폰,모바일 기기 비교, 크기
joystick.svg,01-devices,조이스틱,게임 조이스틱,입력장치, 로봇 제어
navigation.svg,01-devices,내비게이션,길 안내 장치,GPS, 위치 서비스
vibrate.svg,01-devices,진동,진동 알림,햅틱 피드백, 모바일 알림
control-tower.svg,01-devices,관제탑,통신 관제탑,통신 관제, IoT 허브
radio-receiver.svg,01-devices,수신기,라디오 수신 장치,방송 수신, 아날로그 통신
desk-lamp.svg,01-devices,탁상등,책상 조명,스마트 조명, IoT 기기
monitor-play.svg,01-devices,미디어모니터,영상 재생 모니터,미디어 재생, 디지털 사이니지
app-window.svg,01-devices,앱화면,응용프로그램 창,소프트웨어, 앱 인터페이스
clapperboard.svg,01-devices,클래퍼보드,영상 촬영 도구,영상 제작, 미디어
infinity-device.svg,01-devices,무한대,무한 기호,연산, 수학 기호
shapes.svg,01-devices,도형모음,다양한 도형,입력장치, 터치 제스처
fingerprint2.svg,01-devices,지문패턴,지문 인식 패턴,생체인식, 보안 인증
combine.svg,01-devices,결합,장치 결합,모듈 결합, 복합 기기
microcontroller.svg,02-physical-computing,마이크로컨트롤러,소형 제어 장치,아두이노, 피지컬컴퓨팅 기초
circuit.svg,02-physical-computing,회로,전자 회로,회로 설계, 전자공학 기초
led.svg,02-physical-computing,LED,발광 다이오드,출력 소자, 디지털 출력
temp-sensor.svg,02-physical-computing,온도센서,온도 측정 센서,센서 입력, 환경 모니터링
light-sensor.svg,02-physical-computing,빛센서,조도 센서,아날로그 입력, 환경 감지
pulse-sensor.svg,02-physical-computing,펄스센서,심박 센서,바이오 센서, 건강 모니터링
ultrasonic.svg,02-physical-computing,초음파센서,거리 측정 센서,거리 측정, 로봇 제어
buzzer.svg,02-physical-computing,부저,소리 출력 부저,디지털 출력, 알림
servo-motor.svg,02-physical-computing,서보모터,각도 제어 모터,모터 제어, 로봇 관절
dc-motor.svg,02-physical-computing,DC모터,직류 모터,모터 구동, 바퀴 제어
switch.svg,02-physical-computing,스위치,온오프 스위치,디지털 입력, 토글
potentiometer.svg,02-physical-computing,가변저항,가변 저항기,아날로그 입력, 값 조절
relay.svg,02-physical-computing,릴레이,전자 릴레이,고전압 제어, 스위칭
lcd.svg,02-physical-computing,LCD,액정 디스플레이,출력 장치, 정보 표시
led-matrix.svg,02-physical-computing,LED매트릭스,LED 배열판,출력, 패턴 표시
jumper-wire.svg,02-physical-computing,점퍼와이어,연결 전선,회로 연결, 브레드보드
battery-pack.svg,02-physical-computing,배터리팩,전원 공급,전원, 이동형 프로젝트
solar-panel.svg,02-physical-computing,태양전지판,태양광 패널,신재생 에너지, 친환경
3d-printer.svg,02-physical-computing,3D프린터,3차원 프린터,메이킹, 프로토타이핑
laser-cutter.svg,02-physical-computing,레이저커터,레이저 절단기,메이킹, 정밀 가공
soldering.svg,02-physical-computing,납땜,납땜 작업,회로 조립, 전자공학
multimeter.svg,02-physical-computing,멀티미터,전기 측정기,전압/전류 측정, 디버깅
robot.svg,02-physical-computing,로봇,자율 로봇,로봇공학, 자동화
robot-car.svg,02-physical-computing,로봇카,바퀴 달린 로봇,이동 로봇, 자율주행
robot-arm.svg,02-physical-computing,로봇팔,관절형 로봇팔,산업 로봇, 제어
arduino.svg,02-physical-computing,아두이노,아두이노 보드,피지컬컴퓨팅 플랫폼
microbit.svg,02-physical-computing,마이크로비트,마이크로비트 보드,교육용 보드, 블록코딩
rf-module.svg,02-physical-computing,RF모듈,무선 통신 모듈,무선 통신, IoT
ble-module.svg,02-physical-computing,BLE모듈,저전력 블루투스,근거리 무선, 웨어러블
wifi-module.svg,02-physical-computing,와이파이모듈,WiFi 통신 모듈,인터넷 연결, IoT
gps.svg,02-physical-computing,GPS모듈,위치 추적 모듈,위치 기반, 내비게이션
rfid.svg,02-physical-computing,RFID,무선 식별 태그,식별, 출입 관리
gear.svg,02-physical-computing,기어,동력 전달 기어,기계 요소, 로봇 구조
wheel.svg,02-physical-computing,바퀴,구동 바퀴,이동 로봇, 기계 요소
actuator.svg,02-physical-computing,액추에이터,동작 장치,출력, 물리적 제어
ir-sensor.svg,02-physical-computing,적외선센서,적외선 감지 센서,근접 감지, 라인트레이싱
humidity-sensor.svg,02-physical-computing,습도센서,습도 측정 센서,환경 모니터링, 스마트팜
fan-module.svg,02-physical-computing,팬모듈,냉각 팬,온도 제어, 출력
piezo.svg,02-physical-computing,피에조,피에조 소자,소리 출력/감지, 진동
breadboard.svg,02-physical-computing,브레드보드,시제품 제작판,회로 시제품, 프로토타이핑
ammeter.svg,02-physical-computing,전류계,전류 측정기,전류 측정, 회로 분석
circuit-battery.svg,02-physical-computing,전지기호,회로 전원 기호,회로도, 전원 표시
diode.svg,02-physical-computing,다이오드,단방향 소자,전자부품, 회로
resistor.svg,02-physical-computing,저항,저항 소자,전자부품, 옴의 법칙
capacitor.svg,02-physical-computing,축전기,에너지 저장 소자,전자부품, 충방전
robot-tabler.svg,02-physical-computing,로봇,자율 로봇,로봇공학, 피지컬컴퓨팅
cctv.svg,02-physical-computing,CCTV,영상 감시 카메라,IoT, 보안 시스템
processor.svg,02-physical-computing,프로세서,연산 장치,마이크로프로세서, 연산
arduino-board.svg,02-physical-computing,아두이노보드,아두이노 플랫폼,피지컬컴퓨팅, 코딩
logic-and.svg,02-physical-computing,AND게이트,논리곱 게이트,논리회로, 디지털 논리
logic-or.svg,02-physical-computing,OR게이트,논리합 게이트,논리회로, 디지털 논리
logic-not.svg,02-physical-computing,NOT게이트,부정 게이트,논리회로, 반전
logic-xor.svg,02-physical-computing,XOR게이트,배타적 논리합,논리회로, 암호화
logic-nand.svg,02-physical-computing,NAND게이트,부정 논리곱,범용 게이트, 논리회로
logic-nor.svg,02-physical-computing,NOR게이트,부정 논리합,범용 게이트, 논리회로
logic-buffer.svg,02-physical-computing,버퍼게이트,신호 증폭 버퍼,신호 처리, 논리회로
propeller.svg,02-physical-computing,프로펠러,회전 프로펠러,드론, 팬 모듈
magnet-sensor.svg,02-physical-computing,자석,자기력 센서,홀센서, 자기장 감지
orbit.svg,02-physical-computing,궤도,회전 궤도,모터 회전, 자이로스코프
signal-high.svg,02-physical-computing,강한신호,높은 신호 세기,센서 출력, 통신 품질
signal-low.svg,02-physical-computing,약한신호,낮은 신호 세기,센서 민감도, 통신 거���
scale-3d.svg,02-physical-computing,3축센서,3축 측정 센서,가속도센서, 자이로
atom-pc.svg,02-physical-computing,원자,원자 구조,전자공학 기초, 반도체
flame-sensor.svg,02-physical-computing,화염센서,불꽃 감지 센서,화재 감지, 안전
water-sensor.svg,02-physical-computing,수분센서,수분 감지 센서,수분 감지, 스마트팜
cone-sensor.svg,02-physical-computing,콘센서,원뿔형 감지 범위,센서 범위, 초음파 패턴
hand-sensor.svg,02-physical-computing,터치센서,접촉 감지 센서,터치 입력, 정전식
module-shapes.svg,02-physical-computing,모듈도형,센서 모듈 종류,다양한 모듈, 선택 가이드
circuit-tree.svg,02-physical-computing,회로트리,회로 분기 구조,회로 설계, 전류 분기
barcode-sensor.svg,02-physical-computing,바코드센서,바코드 읽기 모듈,자동 인식, 재고 관리
variable.svg,03-programming,변수,데이터 저장 변수,변수 개념, 데이터 타입
function.svg,03-programming,함수,코드 함수,함수 정의, 코드 재사용
loop.svg,03-programming,반복문,반복 실행 구조,for/while 루프, 반복
for-loop.svg,03-programming,FOR반복,횟수 반복문,for문, 카운터 반복
while-loop.svg,03-programming,WHILE반복,조건 반복문,while문, 조건 반복
if-condition.svg,03-programming,조건문,조건 분기,if문, 참/거짓 판단
if-else.svg,03-programming,조건분기,참거짓 분기,if-else, 양갈래 분기
array.svg,03-programming,배열,순서 있는 데이터 목록,배열, 리스트 자료형
string.svg,03-programming,문자열,텍스트 데이터,문자열 처리, 텍스트
integer.svg,03-programming,정수,정수 데이터 타입,숫자 자료형, 연산
boolean.svg,03-programming,불리언,참/거짓 값,논리값, 조건 판단
code-block.svg,03-programming,코드블록,중괄호 코드 블록,코드 구조, 범위
brackets.svg,03-programming,대괄호,배열/인덱스 접근,배열 접근, 인덱싱
parentheses.svg,03-programming,소괄호,함수 호출 괄호,함수 호출, 연산 순서
indent.svg,03-programming,들여쓰기,코드 들여쓰기,코드 구조, 가독성
comment.svg,03-programming,주석,코드 설명 주석,코드 설명, 문서화
terminal.svg,03-programming,터미널,명령줄 인터페이스,CLI, 명령어 실행
console.svg,03-programming,콘솔,출력 콘솔,디버깅, 출력 확인
code.svg,03-programming,코드,프로그래밍 코드,코딩, 소스코드
html.svg,03-programming,HTML,웹 마크업 언어,웹 개발, 문서 구조
css.svg,03-programming,CSS,웹 스타일 언어,웹 디자인, 스타일링
json.svg,03-programming,JSON,데이터 교환 형식,데이터 형식, API
bug.svg,03-programming,버그,프로그램 오류,디버깅, 오류 수정
debug.svg,03-programming,디버그,오류 수정 과정,디버깅 기법, 문제해결
breakpoint.svg,03-programming,중단점,실행 중단 지점,디버깅, 단계 실행
error.svg,03-programming,에러,오류 발생,에러 처리, 예외
warning.svg,03-programming,경고,경고 메시지,경고 처리, 코드 품질
git-commit.svg,03-programming,커밋,버전 저장 단위,버전관리, 변경 기록
git-branch.svg,03-programming,브랜치,코드 가지,버전관리, 병렬 개발
git-merge.svg,03-programming,머지,코드 병합,버전관리, 협업
pull-request.svg,03-programming,풀리퀘스트,코드 검토 요청,협업, 코드리뷰
block-coding.svg,03-programming,블록코딩,블록 기반 코딩,스크래치, 엔트리
scratch-block.svg,03-programming,스크래치블록,스크래치 코딩 블록,블록코딩, 초등 SW교육
run.svg,03-programming,실행,프로그램 실행,코드 실행, 테스트
stop.svg,03-programming,정지,실행 중지,프로그램 종료, 중단
input.svg,03-programming,입력,데이터 입력,input 함수, 사용자 입력
output.svg,03-programming,출력,데이터 출력,print 함수, 결과 출력
operator-plus.svg,03-programming,덧셈연산,더하기 연산자,산술 연산, 수학
operator-minus.svg,03-programming,뺄셈연산,빼기 연산���,산술 연산, 수학
operator-multiply.svg,03-programming,곱셈연산,곱하기 연산자,산술 연산, 수학
operator-divide.svg,03-programming,나눗셈연산,나누기 연산자,산술 연산, 수학
comparison.svg,03-programming,비교연산,비교 연산자,조건 비교, 논리
module.svg,03-programming,모듈,코드 모듈,모듈화, 패키지
library.svg,03-programming,라이브러리,코드 라이브러리,외부 라이브러리, import
class.svg,03-programming,클래스,객체지향 클래스,OOP, 객체 설계
object.svg,03-programming,객체,프로그래밍 객체,OOP, 인스턴스
return.svg,03-programming,반환,함수 반환값,return문, 결과값
try-catch.svg,03-programming,예외처리,에러 처리 구문,try-catch, 안전한 코드
source-code.svg,03-programming,소스코드,프로그램 소스,코드 작성, 파일
deploy.svg,03-programming,배포,프로그램 배포,서비스 배포, 릴리스
testing.svg,03-programming,테스트,코드 테스트,단위 테스트, 품질
code-review.svg,03-programming,코드리뷰,코드 검토,협업, 품질 관리
readme.svg,03-programming,리드미,프로젝트 설명서,문서화, 프로젝트 소개
database.svg,03-programming,데이터베이스,데이터 저장소,DB, 데이터 관리
sql.svg,03-programming,SQL,데이터 조회 언어,데이터베이스, 쿼리
ide.svg,03-programming,IDE,통합개발환경,코드 에디터, 개발도구
docker.svg,03-programming,컨테이너,가상화 컨테이너,배포, 환경 관리
web-dev.svg,03-programming,웹개발,웹 프로그래밍,웹사이트, 풀스택
app-dev.svg,03-programming,앱개발,모바일 앱 개발,앱 프로그래밍, 모바일
algorithm-code.svg,03-programming,알고리즘,문제 해결 절차,알고리즘 설계, 효율성
app-window.svg,03-programming,앱창,응용프로그램 창,GUI, 윈도우 프로그래밍
square-code.svg,03-programming,코드박스,코드 입력 영역,코드 에디터, 입력 영역
square-func.svg,03-programming,함수박스,함수 표현 상자,함수 정의, 수학 함수
stack-code.svg,03-programming,스택코드,코드 스택,호출 스택, 실행 컨텍스트
notebook-code.svg,03-programming,코딩노트,코딩 학습 노트,학습 기록, 코딩 일지
pencil-ruler.svg,03-programming,연필+자,설계 도구,코드 설계, 구조 기획
milestone.svg,03-programming,마일스톤,프로젝트 이정표,개발 진행, 릴리스
kanban.svg,03-programming,칸반보드,작업 관리판,애자일, 프로젝트 관리
gantt-chart.svg,03-programming,간트차트,일정 차트,프로젝트 일정, 계획
combine-code.svg,03-programming,결합,코드 결합,모듈 통합, 빌드
ungroup.svg,03-programming,분리,코드 분리,모듈 분리, 리팩토링
group-code.svg,03-programming,그룹화,코드 그룹화,모듈화, 네임스페이스
file-code-2.svg,03-programming,코드파일2,프로그래밍 파일,소스코드, 스크립트
file-search.svg,03-programming,파일검색,파일 찾기,코드 검색, IDE 기능
folder-tree.svg,03-programming,폴더트리,폴더 구조,프로젝트 구조, 디렉토리
file-type.svg,03-programming,파일타입,파일 형식,확장자, 파일 종류
binary-code.svg,03-programming,이진코드,2진법 코드,비트, 디지털 표현
book-docs.svg,03-programming,문서,개발 문서,API 문서, 매뉴얼
book-ref.svg,03-programming,참조문서,참고 자료,레퍼런스, 가이드
3d-code.svg,03-programming,3D코드,3차원 프로그래밍,게임 개발, 3D 그래픽
infinity-loop.svg,03-programming,무한루프,끝없는 반복,무한루프, 종료 조건
ratio.svg,03-programming,비율,비율 계산,화면 비율, 수학 연산
proportions.svg,03-programming,비례,비례 관계,CSS 비율, 레이아웃
python.svg,03-programming,파이썬,파이썬 언어,파이썬 프로그래밍, AI
javascript.svg,03-programming,자바스크립트,JS 언어,웹 프로그래밍, 프론트엔드
html5.svg,03-programming,HTML5,웹 마크업 5,웹 표준, 시맨틱 태그
css3.svg,03-programming,CSS3,웹 스타일 3,웹 디자인, 애니메이션
react.svg,03-programming,리액트,리액트 프레임워크,컴포넌트, SPA
github.svg,03-programming,깃허브,코드 공유 플랫폼,버전관리, 협업
vscode.svg,03-programming,VS코드,코드 에디터,IDE, 개발환경
flowchart.svg,04-algorithm,플로차트,순서도,알고리즘 표현, 프로그램 설계
decision.svg,04-algorithm,판단기호,조건 판단 기호,순서도, 분기
process.svg,04-algorithm,처리기호,처리 과정 기호,순서도, 연산
terminal-symbol.svg,04-algorithm,단말기호,시작/끝 기호,순서도, 흐름 시작과 끝
flow-arrow.svg,04-algorithm,흐름화살표,실행 흐름 방향,순서도, 연결
sorting.svg,04-algorithm,정렬,데이터 정렬,정렬 알고리즘, 순서 배열
bubble-sort.svg,04-algorithm,버블정렬,인접 비교 정렬,기초 정렬, 비교 교환
selection-sort.svg,04-algorithm,선택정렬,최솟값 선택 정렬,기초 정렬, 선택
insertion-sort.svg,04-algorithm,삽입정렬,삽입하며 정렬,기초 정렬, 삽입
merge-sort.svg,04-algorithm,합병정렬,분할 후 병합 정렬,분할정복, 효율적 정렬
quick-sort.svg,04-algorithm,퀵정렬,피벗 기반 빠른 정렬,분할정복, 고급 정렬
linear-search.svg,04-algorithm,선형탐색,순차적 검색,기초 탐색, 순서대로
binary-search.svg,04-algorithm,이진탐색,반으로 나눠 검색,효율적 탐색, 정렬된 데이터
stack.svg,04-algorithm,스택,후입선출 자료구조,LIFO, 함수 호출
queue.svg,04-algorithm,큐,선입선출 자료구조,FIFO, 대기열
linked-list.svg,04-algorithm,연결리스트,노드 연결 구조,동적 자료구조, 포인터
binary-tree.svg,04-algorithm,이진트리,이진 트리 구조,트리 탐색, 계층 구조
graph.svg,04-algorithm,그래프,노드와 간선 구조,네트워크, 관계 표현
hash-table.svg,04-algorithm,해시테이블,키-값 저장 구조,빠른 검색, 매핑
heap.svg,04-algorithm,힙,우선순위 트리,우선순위 큐, 정렬
bfs.svg,04-algorithm,너비우선탐색,BFS 탐색,그래프 탐색, 최단경로
dfs.svg,04-algorithm,깊이우선탐색,DFS 탐색,그래프 탐색, 백트래킹
shortest-path.svg,04-algorithm,최단경로,최단 거리 탐색,다익스트라, 경로 찾기
greedy.svg,04-algorithm,탐욕법,최적 선택 전략,그리디 알고리즘, 최적화
divide-conquer.svg,04-algorithm,분할정복,분할 후 해결,재귀, 큰 문제 분할
dynamic-prog.svg,04-algorithm,동적프로그래밍,메모이제이션 풀이,DP, 최적 부분 구조
backtracking.svg,04-algorithm,백트래킹,되돌아가며 탐색,탐색, 조합 문제
time-complexity.svg,04-algorithm,시간복잡도,실행 시간 분석,효율성, Big-O
space-complexity.svg,04-algorithm,공간복잡도,메모리 사용 분석,메모리 효율, Big-O
big-o.svg,04-algorithm,빅오표기법,알고리즘 성능 표기,복잡도 분석, O(n)
recursion.svg,04-algorithm,재귀,자기 호출 구조,재귀 함수, 분할정복
swap.svg,04-algorithm,교환,값 교환 연산,정렬, 자리 바꾸기
array-index.svg,04-algorithm,배열인덱스,배열 위치 접근,인덱싱, 자료 접근
compare.svg,04-algorithm,비교,값 비교 연산,조건 비교, 정렬 기준
random.svg,04-algorithm,무작위,랜덤 선택,난수 생성, 확률
optimization.svg,04-algorithm,최적화,최적 해 탐색,효율성 개선, 성능
problem-solving.svg,04-algorithm,문제해결,알고리즘적 사고,컴퓨팅 사고력, 분석
computational.svg,04-algorithm,컴퓨팅사고,컴퓨팅 사고력,추상화, 패턴인식
pattern-recognition.svg,04-algorithm,패턴인식,규칙 발견,패턴 분석, 추상화
abstraction.svg,04-algorithm,추상화,핵심 추출,복잡도 감소, 모델링
scale-balance.svg,04-algorithm,저울,균형 비교,값 비교, 가중치
decomposition.svg,04-algorithm,분해,문제 분해,분해 사고, 서브문제
combine-algo.svg,04-algorithm,합성,문제 합성,부분 결합, 통합
infinity-algo.svg,04-algorithm,무한,무한 개념,수학적 무한, 극한
summation.svg,04-algorithm,합계,시그마 합산,누적 합, 수열의 합
binary-num.svg,04-algorithm,이진수,2진법 숫자,진법 변환, 디지털
hierarchy.svg,04-algorithm,계층구조,계층적 구조,트리 구조, 조직도
hierarchy-2.svg,04-algorithm,계층도2,다단계 계층,다단계 분류, 상속
topology-bus.svg,04-algorithm,버스토폴로지,일렬 연결 구조,네트워크 구조, 버스형
topology-ring.svg,04-algorithm,링토폴로지,원형 연결 구조,네트워크 구조, 링형
topology-star.svg,04-algorithm,스타토폴로지,별형 연결 구조,네트워크 구조, 스타형
topology-full.svg,04-algorithm,메시토폴로지,완전 연결 구조,네트워크 구조, 메시형
math-symbols.svg,04-algorithm,수학기호,수학 연산 기호,수학, 연산자
math-function.svg,04-algorithm,수학함수,수학 함수 표현,함수, 입출력 관계
math-integral.svg,04-algorithm,적분,적분 기호,미적분, 면적 계산
