파일명,카테고리,이미지이름,이미지설명,사용하면좋을상황
math-avg.svg,04-algorithm,평균,산술 평균,통계, 중심경향
math-fraction.svg,04-algorithm,분수,분수 표현,분수, 나눗셈
bezier-curve.svg,04-algorithm,베지어곡선,곡선 보간,그래픽, 곡선 표현
abacus.svg,04-algorithm,주판,수 계산 도구,고대 계산기, 수 세기
comparison-gt.svg,04-algorithm,크다비교,크다 비교연산,비교 연산, 부등호
comparison-lt.svg,04-algorithm,작다비교,작다 비교연산,비교 연산, 부등호
math-add.svg,04-algorithm,수식덧셈,변수 덧셈,수식, 변수 연산
math-sub.svg,04-algorithm,수식뺄셈,변수 뺄셈,수식, 변수 연산
math-div.svg,04-algorithm,수식나눗셈,변수 나눗셈,수식, 변수 연산
topological-sort.svg,04-algorithm,위상정렬,선행 관계 정렬,DAG, 작업 순서
dijkstra.svg,04-algorithm,다익스트라,최단 경로 알고리즘,가중 그래프, 최단 거리
bellman-ford.svg,04-algorithm,벨만포드,음수 간선 최단경로,음수 가중치, 사이클 감지
matrix-algo.svg,04-algorithm,행렬,2차원 배열 구조,행렬 연산, 인접 행렬
spanning-tree.svg,04-algorithm,신장트리,최소 비용 연결,프림, 크루스칼 알고리즘
set-structure.svg,04-algorithm,집합,집합 자료구조,합집합, 교집합, 중복 제거
sliding-window.svg,04-algorithm,슬라이딩윈도우,구간 탐색 기법,부분 배열, 최적 구간
two-pointers.svg,04-algorithm,투포인터,양쪽 포인터 탐색,정렬 배열, 합 문제
memoization.svg,04-algorithm,메모이제이션,결과 저장 기법,중복 계산 방지, DP 최적화
pruning.svg,04-algorithm,가지치기,불필요 탐색 제거,탐색 최적화, 알파베타
counting-sort.svg,04-algorithm,카운팅정렬,빈도 기반 정렬,비교 없는 정렬, 정수 정렬
heap-sort.svg,04-algorithm,힙정렬,힙 기반 정렬,효율적 정렬, 우선순위
trie.svg,04-algorithm,트라이,문자열 검색 트리,문자열 탐색, 자동완성
mutex.svg,04-algorithm,뮤텍스,상호배제 잠금,동시성, 병렬 처리
iteration-algo.svg,04-algorithm,반복순회,순회 반복 처리,이터레이션, 반복 접근
probability-algo.svg,04-algorithm,확률알고리즘,확률적 접근법,몬테카를로, 라빈카프
double-linked.svg,04-algorithm,이중연결리스트,양방향 노드 연결,양방향 탐색, 삽입/삭제
lru-cache.svg,04-algorithm,LRU캐시,최근 사용 캐시,캐시 교체, 페이지 교체
kruskal.svg,04-algorithm,크루스칼,최소 신장 트리,MST, 간선 기반
sort-visualization.svg,04-algorithm,정렬시각화,정렬 과정 표현,정렬 비교, 단계 시각화
internet.svg,05-network-security,인터넷,글로벌 네트워크,인터넷 개념, 월드와이드웹
wifi-network.svg,05-network-security,와이파이,무선 네트워크,무선 인터넷, 접속
ethernet.svg,05-network-security,이더넷,유선 네트워크,LAN, 유선 연결
router-net.svg,05-network-security,라우터,패킷 경로 설정,네트워크 장비, 라우팅
server-net.svg,05-network-security,서버,서비스 제공 컴퓨터,클라이언트-서버, 호스팅
cloud-net.svg,05-network-security,클라우드,원격 컴퓨팅,클라우드 서비스, SaaS
http.svg,05-network-security,HTTP,웹 통신 프로토콜,웹 통신, 요청/응답
url.svg,05-network-security,URL,웹 주소,인터넷 주소 체계, 도메인
email.svg,05-network-security,이메일,전자 우편,통신, 디지털 소통
packet.svg,05-network-security,패킷,데이터 전송 단위,네트워크 통신, 분할 전송
bandwidth.svg,05-network-security,대역폭,전송 용량,네트워크 속도, 성능
latency.svg,05-network-security,지연시간,응답 지연,네트워크 성능, 속도
browser.svg,05-network-security,브라우저,웹 브라우저,인터넷 접속, 웹 탐색
webpage.svg,05-network-security,웹페이지,웹 문서,웹사이트, HTML
cookie.svg,05-network-security,쿠키,웹 쿠키 데이터,개인정보, 웹 추적
cache.svg,05-network-security,캐시,임시 저장소,성능 최적화, 저장
firewall.svg,05-network-security,방화벽,네트워크 보안 장벽,보안, 접근 차단
encryption.svg,05-network-security,암호화,데이터 암호화,정보 보호, 보안
decryption.svg,05-network-security,복호화,암호 해독,암호 해제, 키
crypto-key.svg,05-network-security,암호키,암호화 키,공개키/비밀키, 인증
ssl.svg,05-network-security,SSL인증서,보안 인증서,HTTPS, 안전한 연결
password.svg,05-network-security,비밀번호,접근 비밀번호,인증, 보안 관리
biometric.svg,05-network-security,생체인증,생체 정보 인증,지문/얼굴 인식, 보안
two-factor.svg,05-network-security,2단계인증,추가 인증 단계,보안 강화, OTP
phishing.svg,05-network-security,피싱,사기 공격,사이버 보안, 예방
malware.svg,05-network-security,악성코드,유해 프로그램,바이러스, 보안 위협
ransomware.svg,05-network-security,랜섬웨어,파일 암호화 공격,사이버 위협, 예방
spam.svg,05-network-security,스팸,원치 않는 메시지,이메일 보안, 필터링
privacy.svg,05-network-security,개인정보보호,개인정보 관리,디지털 시민, 프라이버시
digital-footprint.svg,05-network-security,디지털발자국,온라인 활동 흔적,디지털 시민, 온라인 윤리
cyber-attack.svg,05-network-security,사이버공격,해킹 시도,보안 위협, 방어
update.svg,05-network-security,보안업데이트,소프트웨어 갱신,보안 패치, 유지보수
backup.svg,05-network-security,백업,데이터 복사본,데이터 보호, 복구
authentication.svg,05-network-security,인증,사용자 확인,로그인, 신원 확인
access-control.svg,05-network-security,접근제어,권한 관리,역할 기반, 보안 정책
audit-log.svg,05-network-security,감사로그,활동 기록,모니터링, 보안 감사
alert.svg,05-network-security,보안알림,위협 알림,모니터링, 사고 대응
block.svg,05-network-security,차단,접근 차단,보안, 필터링
qr-code.svg,05-network-security,QR코드,2차원 바코드,정보 인코딩, 인증
network-topology.svg,05-network-security,네트워크구조,네트워크 토폴로지,네트워크 설계, 구조
global-network.svg,05-network-security,글로벌네트워크,세계 네트워크,국제 통신, 인터넷 백본
secure-web.svg,05-network-security,보안웹,보안 웹 접속,HTTPS, 안전한 브라우징
earth-net.svg,05-network-security,지구본,지구 네트워크,글로벌 인터넷, WWW
earth-secure.svg,05-network-security,지구보안,지구 보안 연결,글로벌 보안, VPN
cloud-download.svg,05-network-security,클라우드다운,클라우드 다운로드,파일 내려받기, 동기화
cloud-upload.svg,05-network-security,클라우드업로드,클라우드 업로드,파일 올리기, 백업
cloud-off.svg,05-network-security,클라우드오프,클라우드 해제,오프라인, 로컬 모드
cloud-edge.svg,05-network-security,엣지컴퓨팅,클라우드 엣지,에지 서버, 분산 처리
server-config.svg,05-network-security,서버설정,서버 구성,서버 관리, 시스템 설정
server-error.svg,05-network-security,서버오류,서버 장애,장애 대응, 복구
db-backup.svg,05-network-security,DB백업,데이터베이스 백업,데이터 보호, 재해 복구
db-realtime.svg,05-network-security,실시간DB,실시간 데이터베이스,실시간 동기화, Firebase
rss-feed.svg,05-network-security,RSS피드,뉴스 피드,정보 구독, 콘텐츠 배포
podcast.svg,05-network-security,팟캐스트,음성 방송,미디어, 오디오 콘텐츠
inbox.svg,05-network-security,받은편지함,메일 수신함,이메일 관리, 메시지
mail-verified.svg,05-network-security,인증메일,확인된 이메일,이메일 인증, 검증
mail-read.svg,05-network-security,읽은메일,열린 이메일,메일 확인, 알림
half-shield.svg,05-network-security,하프실드,절반 보호,부분 보안, 방어 수준
shield-unknown.svg,05-network-security,보안질문,보안 확인 질문,보안 인증, 본인 확인
shield-add.svg,05-network-security,보안추가,보안 강화,추가 보안, 계층 방어
text-scan.svg,05-network-security,텍스트스캔,문자 인식,OCR, 텍스트 추출
hand-trust.svg,05-network-security,신뢰손,신뢰 기반 연결,디지털 신뢰, 웹 오브 트러스트
handshake-net.svg,05-network-security,핸드셰이크,통신 협상,프로토콜, TCP 핸드셰이크
location.svg,05-network-security,위치표시,위치 핀,위치 기반 서비스, GPS
database-ai.svg,06-data-ai,데이터베이스,데이터 저장소,데이터 관리, 구조화
spreadsheet.svg,06-data-ai,스프레드시트,표 형식 데이터,엑셀, 데이터 정리
csv.svg,06-data-ai,CSV파일,쉼표 구분 파일,데이터 교환, 표 형식
bar-chart.svg,06-data-ai,막대그래프,수직 막대 차트,데이터 비교, 시각화
line-chart.svg,06-data-ai,꺾은선그래프,시계열 차트,추세 분석, 시각화
pie-chart.svg,06-data-ai,원그래프,비율 차트,구성비, 시각화
scatter-plot.svg,06-data-ai,산점도,상관 관계 차트,상관분석, 시각화
histogram.svg,06-data-ai,히스토그램,도수 분포도,분포 분석, 통계
area-chart.svg,06-data-ai,영역그래프,누적 차트,추세, 시각화
dashboard.svg,06-data-ai,대시보드,데이터 요약판,KPI, 모니터링
data-filter.svg,06-data-ai,데이터필터,조건별 추출,데이터 정제, 선별
data-search.svg,06-data-ai,데이터검색,데이터 탐색,쿼리, 조건 검색
data-cleaning.svg,06-data-ai,데이터정제,오류 데이터 제거,전처리, 품질 향상
outlier.svg,06-data-ai,이상치,비정상 데이터,이상 탐지, 통계
normalization.svg,06-data-ai,정규화,데이터 스케일링,전처리, 표준화
data-pipeline.svg,06-data-ai,데이터파이프라인,데이터 처리 흐름,ETL, 자동화
data-collection.svg,06-data-ai,데이터수집,데이터 모으기,설문, 관측, 크롤링
survey.svg,06-data-ai,설문조사,데이터 수집 설문,1차 데이터, 조사
web-scraping.svg,06-data-ai,웹스크래핑,웹 데이터 수집,크롤링, 자동 수집
api-data.svg,06-data-ai,API데이터,API 통한 수집,데이터 연동, REST
neural-network.svg,06-data-ai,신경망,인공 신경망,딥러닝, AI 모델
deep-learning.svg,06-data-ai,딥러닝,심층 학습,CNN, RNN, 고급 AI
machine-learning.svg,06-data-ai,머신러닝,기계 학습,지도학습, 비지도학습
classification.svg,06-data-ai,분류,범주 예측,지도학습, 카테고리
regression.svg,06-data-ai,회귀,수치 예측,지도학습, 추세
clustering.svg,06-data-ai,군집화,그룹 나누기,비지도학습, K-means
decision-tree.svg,06-data-ai,의사결정트리,트리 기반 분류,분류, 예측 모델
random-forest.svg,06-data-ai,랜덤포레스트,앙상블 학습,다수결, 정확도
overfitting.svg,06-data-ai,과적합,과도한 학습,모델 일반화, 검증
accuracy.svg,06-data-ai,정확도,예측 정확도,모델 평가, 성능
confusion-matrix.svg,06-data-ai,혼동행렬,예측 결과표,분류 평가, TP/FP
loss-function.svg,06-data-ai,손실함수,오차 측정,모델 학습, 최적화
gradient-descent.svg,06-data-ai,경사하강법,최적값 탐색,학습 알고리즘, 최적화
chatbot.svg,06-data-ai,챗봇,대화형 AI,NLP, 고객 서비스
nlp.svg,06-data-ai,자연어처리,텍스트 AI,NLP, 언어 분석
sentiment.svg,06-data-ai,감성분석,감정 판별,텍스트 분석, 여론
image-recognition.svg,06-data-ai,이미지인식,영상 분류,컴퓨터비전, CNN
object-detection.svg,06-data-ai,객체탐지,물체 인식,컴퓨터비전, YOLO
recommendation.svg,06-data-ai,추천시스템,맞춤 추천,협업 필터링, 개인화
prompt.svg,06-data-ai,프롬프트,AI 지시문,프롬프트 엔지니어링, LLM
llm.svg,06-data-ai,대규모언어모델,LLM AI,GPT, 생성형 AI
embedding.svg,06-data-ai,임베딩,벡터 표현,텍스트 벡터화, 의미
tokenizer.svg,06-data-ai,토크나이저,텍스트 분할,텍스트 전처리, NLP
transfer-learning.svg,06-data-ai,전이학습,사전 학습 활용,파인튜닝, 효율
reinforcement.svg,06-data-ai,강화학습,보상 기반 학습,에이전트, 게임 AI
computer-vision.svg,06-data-ai,컴퓨터비전,영상 처리 AI,이미지, 영상 분석
speech-recognition.svg,06-data-ai,음성인식,말소리 인식,STT, 음성 AI
text-to-speech.svg,06-data-ai,음성합성,텍스트 읽기,TTS, 접근성
data-viz.svg,06-data-ai,데이터시각화,그래프 표현,차트, 인포그래픽
correlation.svg,06-data-ai,상관관계,변수 간 관계,통계, 분석
distribution.svg,06-data-ai,분포,데이터 분포,정규분포, 통계
statistics.svg,06-data-ai,통계,데이터 통계,평균, 중앙값, 표준편차
hypothesis.svg,06-data-ai,가설검증,통계적 검증,p값, 유의성 검정
sample.svg,06-data-ai,표본,데이터 표본,표본추출, 모집단
bias-fairness.svg,06-data-ai,공정성,AI 편향 방지,윤리, 공정한 AI
ai-ethics.svg,06-data-ai,AI윤리,인공지능 윤리,책임감 있는 AI
explainable-ai.svg,06-data-ai,설명가능AI,AI 판단 해석,XAI, 투명성
model-deploy.svg,06-data-ai,모델배포,AI 서비스화,서빙, API 배포
edge-ai.svg,06-data-ai,엣지AI,기기 내 AI,TinyML, 경량화
generative-ai.svg,06-data-ai,생성형AI,콘텐츠 생성 AI,이미지/텍스트 생성, GPT
data-report.svg,06-data-ai,데이터리포트,데이터 보고서,리포트, 분석 결과
analytics.svg,06-data-ai,분석리포트,분석 프레젠테이션,데이터 발표, 인사이트
data-funnel.svg,06-data-ai,데이터퍼널,단계별 필터,전환율, 깔때기 분석
file-chart.svg,06-data-ai,차트파일,차트 문서,데이터 시각화 파일
image-dataset.svg,06-data-ai,이미지데이터,이미지 데이터셋,컴퓨터비전, 학습 데이터
audio-data.svg,06-data-ai,오디오데이터,음성 데이터,음성 데이터셋, 오디오 AI
waveform.svg,06-data-ai,파형,음파 파형,음성 분석, 신호 처리
data-discovery.svg,06-data-ai,데이터탐색,데이터 발견,탐색적 분석, EDA
db-search.svg,06-data-ai,DB검색,데이터베이스 검색,SQL 쿼리, 데이터 조회
db-backup-ai.svg,06-data-ai,DB백업,데이터 백업,데이터 보관, 아카이브
data-table.svg,06-data-ai,데이터테이블,데이터 테이블,구조화 데이터, 행열
feature-matrix.svg,06-data-ai,피처행렬,특성 행렬,특성 공학, 데이터 변환
flower-data.svg,06-data-ai,꽃데이터,아이리스 데이터,붓꽃 데이터셋, 예제 데이터
model-orbit.svg,06-data-ai,모델궤도,학습 사이클,학습 루프, 에포크
data-ratio.svg,06-data-ai,데이터비율,데이터 비율,비율 분석, 파이
data-badge.svg,06-data-ai,데이터뱃지,데이터 인증,데이터 품질, 검증
sigma-stat.svg,06-data-ai,시그마통계,합계 통계,통계 합산, 시그마
infinite-data.svg,06-data-ai,무한데이터,빅데이터,대용량 데이터, 스트리밍
top-result.svg,06-data-ai,최고결과,최상위 결과,순위, 최적 모델
empathize.svg,07-design-thinking,공감,사용자 이해,공감 단계, 사용자 중심
define.svg,07-design-thinking,정의,문제 정의,핵심 문제 도출, HMW
ideate.svg,07-design-thinking,아이디어,발산적 사고,아이디어 생성, 브레인스토밍
prototype.svg,07-design-thinking,프로토타입,시제품 제작,빠른 제작, 검증용
test.svg,07-design-thinking,테스트,사용자 검증,피드백, 반복 개선
iterate.svg,07-design-thinking,반복개선,지속적 개선,피드백 반영, 발전
sticky-note.svg,07-design-thinking,포스트잇,메모 포스트잇,아이디어 기록, 분류
interview.svg,07-design-thinking,인터뷰,사용자 면담,사용자 조사, 공감
persona.svg,07-design-thinking,페르소나,대표 사용자,사용자 모델링, 대상 정의
journey-map.svg,07-design-thinking,여정지도,사용자 경험 흐름,고객 여정, 접점 분석
brainstorm.svg,07-design-thinking,브레인스토밍,자유 발상,아이디어 발산, 그룹 활동
mind-map.svg,07-design-thinking,마인드맵,방사형 사고 지도,사고 정리, 연결
sketch.svg,07-design-thinking,스케치,빠른 그림,아이디어 시각화, 초안
wireframe.svg,07-design-thinking,와이어프레임,화면 설계도,UI 설계, 구조
mockup.svg,07-design-thinking,목업,실물 모형,디자인 시안, 프레젠테이션
user-flow.svg,07-design-thinking,사용자흐름,이용 과정도,화면 전환, UX 설계
storyboard.svg,07-design-thinking,스토리보드,장면 구성표,서비스 시나리오, 영상
scenario.svg,07-design-thinking,시나리오,사용 상황 서술,맥락 설계, 상황 묘사
observation.svg,07-design-thinking,관찰,현장 관찰,필드리서치, 발견
insight.svg,07-design-thinking,인사이트,핵심 발견,통찰, 핵심 파악
affinity.svg,07-design-thinking,친화도분류,데이터 그룹화,유사성 분류, 패턴
feedback.svg,07-design-thinking,피드백,반응 수집,사용자 의견, 개선점
vote.svg,07-design-thinking,투표,의사 결정,우선순위, 합의
prioritize.svg,07-design-thinking,우선순위,중요도 결정,영향도-노력도, 선택
sprint.svg,07-design-thinking,스프린트,집중 작업 기간,디자인 스프린트, 시간제한
workshop.svg,07-design-thinking,워크숍,참여형 활동,그룹 활동, 퍼실리테이션
timeboxing.svg,07-design-thinking,타임박싱,시간 제한 활동,집중, 효율적 진행
icebreaker.svg,07-design-thinking,아이스브레이커,분위기 조성,팀빌딩, 긴장 완화
co-creation.svg,07-design-thinking,공동창작,함께 만들기,협업, 참여 디자인
diverge-converge.svg,07-design-thinking,발산수렴,확장과 집중,더블다이아몬드, 사고
constraint.svg,07-design-thinking,제약조건,디자인 제약,한계, 창의적 도전
mvp.svg,07-design-thinking,MVP,최소 기능 제품,핵심 기능, 빠른 검증
pivot.svg,07-design-thinking,피벗,방향 전환,전략 수정, 적응
service-blueprint.svg,07-design-thinking,서비스설계,서비스 청사진,프론트/백스테이지
value-proposition.svg,07-design-thinking,가치제안,핵심 가치 제시,사용자 가치, 차별화
pain-point.svg,07-design-thinking,불편사항,사용자 고충,문제 발견, 개선 기회
solution-fit.svg,07-design-thinking,해결적합성,문제-해결 매칭,솔루션 검증, 적합도
design-challenge.svg,07-design-thinking,디자인챌린지,설계 과제,프로젝트 주제, 미션
hmw.svg,07-design-thinking,HMW질문,어떻게 하면 좋을까,문제 재정의, 기회 발견
creative.svg,07-design-thinking,창의적사고,창의적 발상,창의성, 혁신
hand-helping.svg,07-design-thinking,도움,상호 도움,공감 행동, 협력
handshake.svg,07-design-thinking,악수,합의 표시,협업, 파트너십
empathy-eye.svg,07-design-thinking,공감눈,관찰의 눈,사용자 관찰, 공감
empathy-ear.svg,07-design-thinking,경청,듣기,사용자 인터뷰, 경청
puzzle-solve.svg,07-design-thinking,퍼즐,문제 조각,문제 분해, 솔루션 조합
shapes-dt.svg,07-design-thinking,도형모음,다양한 형태,프로토타입 형태, 다양성
frame.svg,07-design-thinking,프레임,작업 프레임,프레임워크, 구조화
gallery.svg,07-design-thinking,갤러리,작품 전시,포트폴리오, 결과물 전시
ribbon.svg,07-design-thinking,리본,우수 표시,수상, 우수 디자인
crown.svg,07-design-thinking,왕관,최고 표시,베스트 아이디어, 선정
stamp.svg,07-design-thinking,도장,승인 표시,승인, 검증 완료
user-test.svg,07-design-thinking,사용자테스트,사용성 검증,유저빌리티, 테스트
validation.svg,07-design-thinking,검증,가설 검증,아이디어 검증, 실험
negative.svg,07-design-thinking,부정,부정적 피드백,개선점, 비판적 사고
empathy-connect.svg,07-design-thinking,공감연결,감정 연결,라포, 신뢰 구축
blend-idea.svg,07-design-thinking,아이디어융합,아이디어 결합,융합, 하이브리드
design-brush.svg,07-design-thinking,디자인붓,디자인 도구,시각 디자인, 표현
design-palette.svg,07-design-thinking,디자인팔레트,색상 선택,컬러 디자인, 무드보드
done.svg,07-design-thinking,완료,완료 표시,과정 완료, 체크
microscope.svg,08-steam,현미경,미세 관찰 도구,과학 실험, 생물 관찰
test-tube.svg,08-steam,시험관,화학 실험 용기,과학 실험, 화학
beaker.svg,08-steam,비커,실험용 비커,과학 실험, 측정
atom.svg,08-steam,원자,물질의 기본 단위,화학, 원자 구조
dna.svg,08-steam,DNA,유전 정보 구조,생물, 유전학
flask.svg,08-steam,플라스크,실험용 플라스크,화학 실험, 반응
thermometer.svg,08-steam,온도계,온도 측정기,과학 실험, 열
magnet.svg,08-steam,자석,자기력 도구,물리, 전자기
electricity.svg,08-steam,전기,전기 에너지,물리, 전자공학
wave.svg,08-steam,파동,에너지 전달,물리, 소리/빛
solar.svg,08-steam,태양,태양 에너지,태양계, 에너지
telescope.svg,08-steam,망원경,천체 관측,천문학, 우주 탐구
ecosystem.svg,08-steam,생태계,생물 환경 시스템,생물, 환경 과학
plant-growth.svg,08-steam,식물성장,식물 생장,생물, 생명 과학
water-cycle.svg,08-steam,물순환,물의 순환,지구과학, 환경
weather.svg,08-steam,기상,날씨 현상,지구과학, 기상 관측
calculator.svg,08-steam,계산기,수학 연산 도구,수학, 계산
sigma.svg,08-steam,시그마,합계 기호,수학, 통계
pi.svg,08-steam,파이,원주율 기호,수학, 기하
triangle.svg,08-steam,삼각형,기하학 도형,수학, 도형
circle-shape.svg,08-steam,원,원형 도형,수학, 기하
square-shape.svg,08-steam,정사각형,사각형 도형,수학, 도형
hexagon.svg,08-steam,육각형,6각형 도형,수학, 테셀레이션
ruler.svg,08-steam,자,길이 측정 도구,수학, 측정
compass-draw.svg,08-steam,컴퍼스,원 그리기 도구,수학, 작도
percentage.svg,08-steam,백분율,비율 표현,수학, 통계
probability.svg,08-steam,확률,사건의 가능성,수학, 확률통계
statistics-chart.svg,08-steam,통계그래프,통계 시각화,수학, 데이터 분석
coordinate.svg,08-steam,좌표,좌표계,수학, 공간
function-graph.svg,08-steam,함수그래프,함수 시각화,수학, 함수
geography.svg,08-steam,지리,지리 정보,사회, 세계 탐구
map.svg,08-steam,지도,위치 정보,사회, 지리
landmark.svg,08-steam,랜드마크,역사적 건축물,사회, 문화유산
history.svg,08-steam,역사,역사 기록,사회, 역사 탐구
community.svg,08-steam,공동체,사회 공동체,사회, 시민 의식
economy.svg,08-steam,경제,경제 활동,사회, 경제 교육
justice.svg,08-steam,정의,공정한 판단,사회, 윤리
art-palette.svg,08-steam,팔레트,미술 도구,미술, 색채
paintbrush.svg,08-steam,붓,그림 도구,미술, 표현 활동
artwork.svg,08-steam,작품,예술 작품,미술, 감상
drawing.svg,08-steam,드로잉,그리기,미술, 소묘
color-mixing.svg,08-steam,색혼합,색 섞기,미술, 색채 이론
music-note.svg,08-steam,음표,음악 기호,음악, 음악 수업
melody.svg,08-steam,멜로디,음악 선율,음악, 작곡
listening.svg,08-steam,감상,음악 감상,음악, 감상 활동
film-making.svg,08-steam,영상제작,영상 콘텐츠,미디어, 영상 편집
photography.svg,08-steam,사진,사진 촬영,미술, 사진 표현
theater.svg,08-steam,연극,공연 예술,예술, 표현 활동
craft.svg,08-steam,공예,만들기 활동,미술, 수공예
origami.svg,08-steam,종이접기,종이 조형,미술, 조형 활동
typography.svg,08-steam,타이포그래피,글자 디자인,디자인, 글꼴
color-theory.svg,08-steam,색채이론,색의 원리,미술, 색 조합
composition.svg,08-steam,구성,화면 구성,미술, 디자인 원리
perspective.svg,08-steam,원근법,깊이 표현,미술, 공간 표현
pattern.svg,08-steam,패턴,반복 무늬,수학+미술, 테셀레이션
symmetry.svg,08-steam,대칭,좌우 대칭,수학+미술, 기하
sustainability.svg,08-steam,지속가능성,지속가능한 발전,환경, 에코디자인
